query_id	ndcg10	recall10	recall100	mrr10
PLAIN-2520	0.1866	0.0548	0.1233	0.5000
PLAIN-2530	0.9302	0.1389	0.3194	1.0000
PLAIN-2540	0.1321	0.0952	0.3810	0.2500
PLAIN-2550	0.0000	0.0000	0.1600	0.0000
PLAIN-2560	0.7910	0.3333	0.7143	1.0000
PLAIN-2570	0.2313	0.0500	0.2750	0.5000
PLAIN-2580	0.3576	0.0870	0.1304	1.0000
PLAIN-2590	0.0359	0.0159	0.0794	0.1250
PLAIN-2600	0.6422	0.4000	0.4000	1.0000
PLAIN-2610	0.2457	0.0492	0.1311	0.5000
PLAIN-2620	0.6069	0.1455	0.3636	1.0000
