query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10	precision5	precision10	allGoldInTop10	map	rPrecision	rbpResidual
PLAIN-1214	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-1225	0.5364	0.2222	0.3333	0.3704			0.5000	0.4000	0.6000	0.0000	0.2106	0.3704	0.4786
PLAIN-1236	0.3392	0.2000	0.2000	0.2000			1.0000	0.2000	0.1000	0.0000	0.2000	0.2000	0.8000
PLAIN-1249	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-1262	0.2083	0.2000	0.3000	0.3000			0.5000	0.2000	0.2000	0.0000	0.1023	0.2000	0.7766
PLAIN-1275	0.5424	0.0727	0.0909	0.1455			1.0000	0.6000	0.4000	0.0000	0.0807	0.1455	0.4559
PLAIN-1288	0.9052	0.0459	0.0612	0.0765			1.0000	0.8000	0.9000	0.0000	0.0608		0.1837
PLAIN-1299	0.1389	0.0164	0.0492	0.0656			0.5000	0.2000	0.1000	0.0000	0.0149	0.0656	0.8156
PLAIN-1309	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-1320	0.4089	0.5000	0.5000	0.5000			0.5000	0.4000	0.3000	0.0000	0.2214	0.3333	0.7057
PLAIN-1331	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-1342	0.3273	0.1875	0.3125	0.3125			0.5000	0.4000	0.3000	0.0000	0.1490	0.3125	0.6155
PLAIN-1353	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-1363	0.2201	0.0909	0.0909	0.0909			1.0000	0.2000	0.1000	0.0000	0.0909	0.0909	0.8000
PLAIN-1374	0.0000	0.0000	0.0385	0.2692			0.0000	0.0000	0.0000	0.0000	0.0212	0.0769	0.9904
PLAIN-1387	0.6988	0.5000	0.6667	0.6667			1.0000	0.8000	0.6000	0.0000	0.5342	0.5000	0.3063
PLAIN-1398	0.8007	0.0680	0.1068	0.1068			1.0000	1.0000	0.7000	0.0000	0.0957		0.1528
PLAIN-1409	0.1420	0.0079	0.0079	0.0316			0.1667	0.0000	0.2000	0.0000	0.0036		0.9061
PLAIN-1419	0.4374	0.0462	0.0462	0.0462			1.0000	0.4000	0.3000	0.0000	0.0385	0.0462	0.5745
PLAIN-1429	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-1441	0.4288	0.0215	0.0484	0.1290			0.5000	0.8000	0.4000	0.0000	0.0597		0.4870
PLAIN-1453	0.3668	0.0163	0.0367	0.1388			0.5000	0.4000	0.4000	0.0000	0.0591		0.6204
PLAIN-1463	0.3996	0.1250	0.2500	0.3333			1.0000	0.4000	0.3000	0.0000	0.1393	0.2500	0.5903
PLAIN-1473	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
PLAIN-1485	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-1496	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-1506	0.2985	0.1333	0.1333	0.1333			1.0000	0.2000	0.2000	0.0000	0.0889	0.1333	0.7345
PLAIN-1516	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-1527	0.7315	0.0347	0.0743	0.1733			1.0000	0.6000	0.7000	0.0000	0.1089		0.2827
PLAIN-1537	0.0000	0.0000	0.0000	0.0444			0.0000	0.0000	0.0000	0.0000	0.0011	0.0000	1.0000
PLAIN-1547	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-1557	0.2782	0.1154	0.1538	0.1538			0.3333	0.4000	0.3000	0.0000	0.0576	0.1538	0.7115
PLAIN-1568	1.0000	1.0000	1.0000	1.0000			1.0000	0.4000	0.2000	1.0000	1.0000	1.0000	0.6400
PLAIN-1579	0.3392	0.2000	0.2000	0.2000			1.0000	0.2000	0.1000	0.0000	0.2000	0.2000	0.8000
PLAIN-1590	0.1389	0.0556	0.0556	0.1667			0.5000	0.2000	0.1000	0.0000	0.0339	0.0556	0.8396
PLAIN-1601	0.5806	0.0811	0.1351	0.2297			0.5000	0.8000	0.6000	0.0000	0.1334	0.2297	0.3666
PLAIN-1611	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-1621	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-1635	0.5017	0.0139	0.0302	0.1485			0.5000	0.4000	0.6000	0.0000	0.1003		0.5138
PLAIN-1645	0.3026	0.1667	0.1667	0.1667			1.0000	0.2000	0.1000	0.0000	0.1667	0.1667	0.8000
PLAIN-1656	0.1389	0.0357	0.0357	0.0357			0.5000	0.2000	0.1000	0.0000	0.0179	0.0357	0.8400
PLAIN-1667	0.7534	0.0440	0.0755	0.2390			1.0000	0.8000	0.7000	0.0000	0.1370		0.2748
PLAIN-1679	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-1690	0.0000	0.0000	0.0000	0.2500			0.0000	0.0000	0.0000	0.0000	0.0027	0.0000	1.0000
PLAIN-1700	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-1710	1.0000	0.6250	0.8125	0.8125			1.0000	1.0000	1.0000	1.0000	0.8125	0.8125	0.0550
PLAIN-1721	0.6621	0.1935	0.1935	0.2258			1.0000	0.6000	0.6000	0.0000	0.1583	0.2258	0.4060
PLAIN-1731	0.7654	0.6667	0.6667	0.6667			1.0000	0.4000	0.2000	0.0000	0.6667	0.6667	0.6400
PLAIN-1741	1.0000	0.0238	0.0476	0.1619			1.0000	1.0000	1.0000	1.0000	0.1457		0.0008
PLAIN-1752	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-1762	0.2685	0.2500	0.2500	0.6250			0.5000	0.4000	0.2000	0.0000	0.1762	0.2500	0.7363
PLAIN-1772	1.0000	1.0000	1.0000	1.0000			1.0000	0.4000	0.2000	1.0000	1.0000	1.0000	0.6400
PLAIN-1784	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-1794	1.0000	1.0000	1.0000	1.0000			1.0000	0.4000	0.2000	1.0000	1.0000	1.0000	0.6400
PLAIN-1805	0.9306	0.0776	0.1207	0.1810			1.0000	1.0000	0.9000	0.0000	0.1453		0.1016
PLAIN-1817	0.5326	0.1481	0.1852	0.1852			1.0000	0.6000	0.4000	0.0000	0.1392	0.1852	0.4742
PLAIN-1827	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-1837	1.0000	0.0510	0.1020	0.2959			1.0000	1.0000	1.0000	1.0000	0.2797		0.0008
PLAIN-1847	0.2489	0.1818	0.1818	0.1818			0.5000	0.4000	0.2000	0.0000	0.1061	0.1818	0.7120
PLAIN-1857	0.6274	0.1515	0.1515	0.1818			1.0000	0.8000	0.5000	0.0000	0.1399	0.1515	0.3828
PLAIN-1867	0.2749	0.1429	0.1429	0.1429			1.0000	0.2000	0.1000	0.0000	0.1429	0.1429	0.8000
PLAIN-1877	0.0000	0.0000	0.0000	0.1111			0.0000	0.0000	0.0000	0.0000	0.0030	0.0000	1.0000
PLAIN-1887	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-1897	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-1909	1.0000	0.0216	0.0324	0.0713			1.0000	1.0000	1.0000	1.0000	0.0548		0.0725
PLAIN-1919	0.7910	0.2593	0.3704	0.6296			1.0000	1.0000	0.7000	0.0000	0.3963	0.4074	0.2033
PLAIN-1929	0.0000	0.0000	0.0000	0.1000			0.0000	0.0000	0.0000	0.0000	0.0022	0.0000	1.0000
PLAIN-1940	0.3590	0.1667	0.1667	0.1667			1.0000	0.4000	0.2000	0.0000	0.1667	0.1667	0.6400
PLAIN-1950	0.2489	0.1538	0.1538	0.1538			0.5000	0.4000	0.2000	0.0000	0.0897	0.1538	0.7120
PLAIN-1962	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-1972	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-1983	1.0000	0.3125	0.4375	0.5000			1.0000	1.0000	1.0000	1.0000	0.4553	0.5000	0.0687
PLAIN-1995	0.0000	0.0000	0.0000	0.0909			0.0000	0.0000	0.0000	0.0000	0.0036	0.0000	0.9991
PLAIN-2009	0.1265	0.1250	0.1250	0.1250			0.3333	0.2000	0.1000	0.0000	0.0417	0.1250	0.8720
PLAIN-2019	0.4693	0.3333	0.3333	0.3333			1.0000	0.2000	0.1000	0.0000	0.3333	0.3333	0.8000
PLAIN-2030	0.3026	0.1667	0.1667	0.1667			1.0000	0.2000	0.1000	0.0000	0.1667	0.1667	0.8000
PLAIN-2040	0.7574	0.0530	0.0606	0.0606			1.0000	0.8000	0.7000	0.0000	0.0492		0.3035
PLAIN-2051	0.5735	0.0169	0.0338	0.1296			0.5000	0.8000	0.6000	0.0000	0.0688		0.3658
PLAIN-2061	0.9337	0.0220	0.0439	0.0805			1.0000	1.0000	0.9000	0.0000	0.0712		0.0496
PLAIN-2071	0.5135	0.0889	0.2000	0.2000			1.0000	0.6000	0.4000	0.0000	0.1259	0.2000	0.4482
PLAIN-2081	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
PLAIN-2092	0.6489	0.5000	0.5000	0.5000			1.0000	1.0000	0.5000	0.0000	0.5000	0.5000	0.3277
PLAIN-2102	0.7722	0.0166	0.0333	0.1235			1.0000	0.8000	0.7000	0.0000	0.0840		0.1892
PLAIN-2113	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-2124	0.3590	0.1176	0.1176	0.1176			1.0000	0.4000	0.2000	0.0000	0.1176	0.1176	0.6400
PLAIN-2134	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-2145	0.1483	0.1111	0.1111	0.1111			0.5000	0.2000	0.1000	0.0000	0.0556	0.1111	0.8400
PLAIN-2156	0.6448	0.5000	0.5000	0.5000			1.0000	0.6000	0.3000	0.0000	0.5000	0.5000	0.5120
PLAIN-2167	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-2177	0.2999	0.1250	0.1250	0.1250			0.5000	0.4000	0.3000	0.0000	0.0556	0.1250	0.7040
PLAIN-2187	0.3833	0.2222	0.2222	0.2222			1.0000	0.4000	0.2000	0.0000	0.2222	0.2222	0.6400
PLAIN-2197	0.7818	0.1207	0.1897	0.2931			1.0000	0.8000	0.7000	0.0000	0.2172	0.2931	0.2099
