query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10	precision5	precision10	allGoldInTop10	map	rPrecision	rbpResidual
589	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
593	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
597	0.9134	1.0000	1.0000	1.0000			1.0000	0.4000	0.3000	1.0000	0.7917	0.6667	0.5981
598	0.0000	0.0000	1.0000	1.0000			0.0000	0.0000	0.0000	0.0000	0.0909	0.0000	0.9785
613	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
619	0.1934	0.5000	0.5000	0.5000			0.1250	0.0000	0.1000	0.0000	0.0625	0.0000	0.9581
623	0.0000	0.0000	0.0000	1.0000			0.0000	0.0000	0.0000	0.0000	0.0385	0.0000	0.9992
628	0.3869	1.0000	1.0000	1.0000			0.2000	0.2000	0.1000	1.0000	0.2000	0.0000	0.9181
636	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
637	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
641	0.6131	0.5000	1.0000	1.0000			1.0000	0.2000	0.1000	0.0000	0.5667	0.5000	0.7912
644	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
649	0.5000	1.0000	1.0000	1.0000			0.3333	0.2000	0.1000	1.0000	0.3333	0.0000	0.8720
659	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
660	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
674	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
